,Nom,Description,Catégorie,Association avec un groupe?,Podcast,Facebook,X,YouTube,Instagram,Substack,Tiktok,Twitch/kick,Commentaires,A,B,C,Photo avec Trump?
John,Doyle,"The Voices Young Conservatives Are Listening to Online - The New York Times
American far-right social media personality, livestreamer, protest leader, and a white nationalist. He has a YouTube channel titled Heck Off, Commie! Doyle was also a special guest at AFPAC and co-hosted a Stop the Steal protest in Detroit, Michigan with Nick Fuentes. Doyle has also attended Turning Point USA conferences with Kai Schwemmer",Extrême droite,"America First Political Action Conference

Stop the steal",TRUE,,75 000,353 000,44 900,,173 000,,,,,,Non
Russel,Vought,"Director of the United States Office of Management and Budget


Vought, who calls himself a Christian nationalist, was previously director of the Office of Management and Budget under Trump. He has long been plotting out plans for a radically right-wing second Trump administration obsessed with imposing its will; co-authored Project 2025, the notorious agenda project led by the Heritage Foundation; and was policy director for the Republican National Convention’s official platform committee.",Administration,Heritage Foundation,FALSE,,181 000,,,,,,,,,,Oui
Stefan,Molyneux,"an Irish-born Canadian white nationalist] podcaster and proponent of conspiracy theories, white supremacy, scientific racism, and the men's rights movement. He is the founder of the Freedomain Radio website. Multiple sources describe the Freedomain internet community as a cult, referring to the indoctrination techniques Molyneux has used as its leader.] As of September 2020, Molyneux has been permanently banned or suspended from PayPal, Mailchimp, YouTube, and SoundCloud, all for violating hate speech policies.

The SPLC describes him as an ""internet commentator and alleged cult leader who amplifies 'scientific racism', eugenics and white supremacism to a massive new audience"" and that ""Stefan Molyneux operates within the racist so-called 'alt-right' and pro-Trump ranks"". He gave his support to President Donald Trump and Marine Le Pen of the French National Rally, as well as the Dutch politician Geert Wilders, during their election campaigns in 2016 and 2017.
","Extrême droite
Canadien",,TRUE,61 300,425 000,17 500,,,732,,,,,,Non
Lauren,Chen,"Hong Kong-Canadian conservative[4][5][6][7][8] political commentator and former YouTube personality. She has been involved with Glenn Beck's BlazeTV and Turning Point USA and has contributed opinion pieces to RT, a Russian state media outlet.[9][10] Her husband, Liam Donovan, was president of the now-defunct Tenet Media, a company they co-founded.
Chen has expressed support for white supremacist streamer Nick Fuentes's anti-Israel stance on the Gaza war and criticized U.S. support for Ukraine. She has suggested that former U.N. Ambassador Nikki Haley should ""move to Ukraine and run for its presidency"".

How Lauren Chen went from ‘alt-lite’ YouTuber to alleged Russian asset",Canadien,Turning Point USA,TRUE,,587 000,,145 000,,,,,,,,Non
Liam,Donovan,"Liam Donovan: The husband of Lauren Chen and president of Tenet Media, Donovan was also implicated in the alleged Russian propaganda scheme in 2024.
The scheme reportedly paid Donovan and other influencers to spread messages such as ""vote for Trump"" and ""defund Ukraine"".",Canadien,Turning Point USA,TRUE,,47 500,159 000,1 000,,,,,,,,Non
Dave,Rubin,"This right-wing political commentator has a large YouTube following and is known for his anti-woke commentary.
Originally from Toronto, Rubin has been a vocal supporter of the ""Intellectual Dark Web"" and has promoted views that align with the cultural conservative narratives found in the MAGA movement.
In 2024, Rubin claimed he and others were ""victims"" of the alleged Russian propaganda scheme. ",Canadian,,TRUE,180 500,1 700 000,3 100 000,556 000,,128 000,,,,,,Oui
Solomon,Brent,"YouTube channel, CartierFamily
offering their Gen Z, Black, right-wing perspective on the political news of the day to more than 1 million subscribers
met top Trump aides at a 2021 Turning Point USA",,Turning Point USA,TRUE,,119 300,1 600 000,26 300,,4 900,,,,,,Non
Hall,Bryce,"TikToker
23.7 million followers on TikTok
5 million YouTube subscribers
deeply embedded in youth online pop culture
helped normalize supporting Republicans among the A-list Los Angeles influencer world.
https://www.scmp.com/magazines/style/entertainment/article/3312145/meet-bryce-hall-addison-raes-ex-who-wants-film-trump-white-house-tiktokker-republican-supporter-has",,,FALSE,,1 400 000,3 200 000,,,23 300 000,,,,,,Oui
Corinna,Kopf,"YouTube star turned OnlyFans creator
deeply embedded in youth online pop culture
helped normalize supporting Republicans among the A-list Los Angeles influencer world.
Prior to firing off that post on social media, Kopf shared a selfie of her and Donald Trump. Clearly, she's a big fan of the 45th president. 


",,,FALSE,,3 100 000,1 700 000,5 900 000,,4 500 000,,,,,,Oui
CJ,Pearson,"responsable de la digital initiative called Influence America
conservative creator with more than 500,000 X
played a key role in the party’s adoption of influencers

American conservative activist, political advisor, former political candidate, commentator, and the former co-chair of the Republican National Committee Youth Advisory Council

Pearson was involved in the unprecedented attempt to overturn the 2020 United States presidential election. After Joe Biden won the 2020 election, Pearson promoted baseless claims of fraud in the election.In late November, Pearson sued Georgia Governor Brian Kemp and others in Pearson v. Kemp, a conspiracy-laden lawsuit filed in the federal district court in Atlanta that attempted to overturn Joe Biden's victory in the 2020 presidential election in Georgia. In December 2020, the court dismissed the suit.

On September 23, 2015, Pearson falsely claimed that he was blocked from President Barack Obama's official presidential social media account on Twitter,[60] due to comments he made criticizing Obama for inviting Ahmed Mohamed to the White House ",,"Heritage Foundation et Republican National Committee’s Youth Advisory Council
 Influence America",TRUE,605 600,564 100,29 300,300 400,19000,179 100,,,,,,Oui
Raquel,Debono,"organizing ""Make America Hot Again"" conservative dating events
played a key role in getting Donald Trump elected for a second time",,"Date Right, the conservative dating platform",FALSE,,,,20 600,,,,,,,,Non
Emily ,Wilson,"from Emily Save America

Conservative Influencer Says Slavery Should Be Reinstated 'If Everyone In the State Wants It': 'What Do I Give a S--t' https://www.latintimes.com/slavery-reinstated-debate-conservative-influencer-debate-emily-wilson-562767
*tradwife?",,Turning Point USA ambassador program,TRUE,,29 400,131 000,624 400,,223 000,,,,,,
Savannah,Chrisley,"Unlocked podcast
Friend of CHarlie Kirk
Trump pardonned her parents of fraud convictions.  (The multimillionaire couple, whose show Chrisley Knows Best ran from 2014 to 2023, were found guilty of conspiring to defraud community banks out of more than $30 million in fraudulent loans in 2022. ) “I will forever be grateful for President Trump, his administration and everyone along the way,""

Dubbing herself a ""MAGA Barbie,"" she campaigned on her parents' behalf and began brushing shoulders with conservative advocates and politicians.",,Turning Point USA ambassador program,TRUE,2 100 000,335 000,237 000,3 200 000,,1 300 000,,,,,,
Sean Mike,Kelly,"Founder of Digital Social Hour podcast
Kelly and Seiter spoke about how alternative media saved free speech in America,

During the Tate brothers' time in the United States, Andrew Tate made appearances on 5 different right-leaning podcasts — the Hodgetwins’ Twins Pod, the Nelk Boys’ Full Send, Sean Kelly’s Digital Social Hour, Patrick Bet-David’s PBD Podcast, and Candace Owens’ Candace. ",,Turning Point USA ambassador program,TRUE,16 800,76 700,1 160 000,1 200 000,,,,,,,,
John,McEntee,"founder of the Peter Thiel–backed Right Stuff dating app

In May 2023, it was announced that McEntee was joining The Heritage Foundation's Project 2025 as a senior advisor. Described by The New York Times as ""one of Trump's most trusted aides""

American entrepreneur and political advisor who served in the first Trump Administration. He has been a Trump loyalist during and after the Trump presidency.
McEntee played a significant role in the attempt to overturn the 2020 election in the lead-up to the January 6 Capitol attack, and promoted numerous conspiracy theories about the election. His role in the last year of Trump’s presidency earned him the moniker, “Deputy President”.[3]

McEntee is an active conservative social media influencer with over 3.3 million followers on TikTok.[11] He is also the co-founder of The Right Stuff, a dating app for Republican singles.",,Heritage Foundation  ,FALSE,,,,1 700 000,,3 300 000,,,,,,
Dave,Portnoy,"American businessman and social media personality. He is the founder and owner of sports and popular culture company Barstool Sports.[2]

a following of more than 10 million across social platforms
reshared the viral photo of Trump with the declaration “The election is over,”

He has been described as a strong supporter of President Donald Trump.
In a 2015 blog post, he said: ""I am voting for Donald Trump. I don't care if he's a joke. I don't care if he's racist. I don't care if he's sexist. I don't care about any of it. I hope he stays in the race and I hope he wins. Why? Because I love the fact that he is making other politicians squirm. I love the fact he says shit nobody else will say, regardless of how ridiculous it is.""[38] He endorsed Trump for the 2016 Presidential election.[37] In 2020, he interviewed Trump at the White House. In 2024, he supported and voted for Donald Trump for president.[39]",,,TRUE,2 900 000,3 900 000,761 000,5 700 000,,4 500 000,,,,,,
Melissa Rein ,Lively,"publicist and Instagram influencer 

Melissa Rein Lively filmed herself destroying a display of facemasks at a Scottsdale, Arizona, Target store. She has embarked on something of a media tour to tell her side of the story and is penning a memoir titled “You Can’t Cancel Me — The Story of My Life.”

SHe waged a social media campaign to be the next White House press secretary in 2024. Lively, a Scottsdale, Arizona-based communications professional with experience in the fashion industry, told Natalie that she has moved into The Breakers luxury resort in Palm Beach while she campaigns for the job. 
",,,TRUE,,,,24 200,,,,,,,,
Breanna ,Morello,"X personality 
hosts a right-wing politics podcast",,,TRUE,,,3 200,11 000,,4 000,,,,,,
Jessica ,Reed Kraus,"conservative influencer who writes the Substack newsletter House Inhabit. The newsletter covers celebrity gossip, conspiracy theories, and American politics.
has over 1.3 million followers on Instagram

The founder of “House Inhabit” has grown her audience during the second Trump Administration with political gossip and what she calls “quality conspiracy.”
Kraus, previously considering herself ""super liberal"", became disillusioned with the Democratic party from COVID-19 lockdowns,
She views Trump as a father figure, and thinks he's ""brilliant"".[4]
She is a regular at the Trump resort Mar-a-lago
https://www.newyorker.com/magazine/2025/09/22/how-jessica-reed-kraus-went-from-mommy-blogger-to-maha-maven",,,TRUE,,61 300,2 000,1 300 000,474000,,,,,,,
Lex ,Fridman,"YouTube podcast reaches millions of viewers every week
computer scientist and podcaster Lex Fridman
has a large audience of mostly younger men 
host an episode with Trump
American computer scientist and podcaster. Since 2018, he has hosted the Lex Fridman Podcast

Fridman rose to prominence in 2019 after Elon Musk praised a study Fridman authored at MIT, which concluded that drivers remained focused while using Tesla's semi-autonomous driving system. The study was not peer-reviewed and was criticized by AI experts

personal friends such as Ivanka Trump and Jared Kushner
https://www.businessinsider.com/lex-fridman-podcast-anti-woke-elon-musk-ai",,,TRUE,200 700,4 400 000,4 800 000,100 000,,689 000,,,,,,
Isabel ,Brown,"Gen Z streamer
he's a spokesperson for Turning Point USA and the proud host of a TPUSA production, speaking regularly on campuses nationwide. Isabel is a former U.S. Senate and White House Intern, has produced content with PragerU, and regularly appears on several news networks. 

New show on The Daily Wire https://www.theconservateur.com/features/isabel-brown-launches-new-show-with-the-daily-wire",,"Turning Point USA
Prager U
The Daily Wire",TRUE,47 300,92 700,128 000,1 200 000,,627 300,,,,,,
Alex ,Clark,"pro-Trump influencer
meeting Trump backstage at a Phoenix rally
The Turning Point staffer came to prominence hosting the Web series Poplitics, blending the rigors of conservative politics with the breeziness of pop-culture chatter (check out her interview in 2020 with Kirk talking about what reality show he’d flourish on). The 32-year-old currently hosts the Turning Point web show Culture Apothecary, where she mixes conservative ideology with wellness tips. 
In addition to her wellness commentary, Clark has maintained her connection with conservative political circles.[3] She has served as a host and speaker at Turning Point USA's Young Women's Leadership Summit and participated in the ""Make America Healthy Again"" (MAHA) initiative, which emerged in alignment with the broader MAGA movement.[3][10]

",,Turning Point USA,TRUE,40 000,60 300,,538 600,,67 300,,,,,,
Xaviaer,DuRousseau,"conservative content creator based in Los Angeles
launched Respectfully, Xaviaer, a show for the conservative nonprofit PragerU
A Black gay former progressive, DuRousseau can potentially expand Kirk’s core audience even further than it’s already gone, reaching out to students and other young people who might not otherwise be inclined to conservatism. The PragerU affiliate, 28, already has some three-quarters of a million followers on TikTok and X combined, where he creates short videos framing anti-immigrant messaging as a way to protect women, among other liberal-subverting ideas (like his vocal stance on a more muted Pride that went viral). DuRousseau was a protege of Kirk’s and says he believes the activist’s “life was cut short because he dared to invite discourse on a college campus in 2025.” The influencer also says that Kirk’s assassination “didn’t silence him —  It amplified everything he ever stood for.” Expect DuRousseau to continue carrying the megaphone. ",,"Turning Point USA 
PragerU",TRUE,,280 700,118 000,562 400,,563 600,,,,,,
Graham ,Allen,"Founder - https://neverwokeapparel.com/

hosts the Dear America Podcast and is the author of America 3:16. He is also a Turning Point USA contributor
Graham Allen is a former Army staff sergeant and served twelve years in combat, including two tours during Operation Iraqi Freedom.

Graham Allen has called climate change an “attempt of the left to spin FEAR.” He also says Taylor Swift is a witch who attracted fans through “some kind of satanic music.”

Allen launched an unsuccessful bidfor a House seat in South Carolina’s 7th Congressional District in the 2022 race, even though he did not live in the district. He dropped out after failing to gain traction in the primary.

https://www.eenews.net/articles/pentagon-communications-job-goes-to-podcaster-who-spreads-conspiracy-theories/

He falsely claimed former Vice President Kamala Harris was pushing population control as part of her climate policy, highlighting a verbal misstep Harris made in a speech while ignoring her correction.",,"Turning Point USA
Liberty university",TRUE,3 400 000,5 440 000,155 000,1 200 000,,180 200,,,,,,
Rob ,Smith,"a gay and Black conservative commentator

Rob Smith, a gay and Black conservative who was heckled and called racist and homophobic slurs while attending a MAGA event last year, said he is leaving the Republican Party.
Smith, a longtime conservative commentator, announced he now identifies as ""politically homeless

https://www.newsweek.com/rob-smith-leaves-republican-party-betrayed-1880447",,Turning Point USA,TRUE,,487 000,,271 000,,,,,,,,
Tyler ,Bowyer,"Tyler Bowyer is a 7th Generation Arizonan and conservative activist. He has served as Republican Precinct Committeeman, Congressional Advisory Chairman, Regent, Republican Legislative District Chairman, Republican County Chairman of the largest Republican-held County in America,Arizona RNC National Committeeman, and was a primary organizer and speaker at the first Trump Rally in July of 2015.
",,Turning Point USA,TRUE,,317 900,,,,,,,,,,
Zach ,Hoyt,"Streamers like Asmongold
By 2025, political commentary had become a major component of Hoyt's streams.

Hoyt has been described as being ""technodeviant""; of being part of a group of typically involuntary celibate, white, heterosexual males whose privilege is alleged to displace marginalized communities from the gaming space. His non-gaming content has been described as being ""carefully constructed to largely read apolitical unless taking up a particular right-wing grievance"". The authors further said the ""suggestion is that he is performing his brand for an audience, and that his statements do not adequately reflect his personal beliefs"". 

In early 2024, Hoyt, alongside other prominent YouTubers, aided in spreading ""anti-woke"" conspiracism around Sweet Baby Inc.'s work in promoting diversity, equity, and inclusion.[34] In a Twitch stream on October 14, 2024, Hoyt called Palestinians ""terrible people"" from ""an inferior culture"" that ""kills people for their identity"" and ""is directly antithetical to everything Western values stand for.""[35][12]",,,TRUE,,1 100 000,,,,,2 200 000,,,,,
Daniel,Harris,YouTube streamer known as the Rageaholic,,,FALSE,,176 000,388 000,,,,,,,,,
Lance ,Johnston,"one of the first political content creators on TikTok
six-figure following in 2020 by posting conservative commentary.
found a dedicated audience on X (formerly Twitter) along with Instagram and Snapchat",,,FALSE,,,,42 700,,22 600,,,,,,
Esha,Javed,"TikTok : has more than 786,000 followers on her main account @vixenesha
who until now has mostly posted Russian manicure vlogs, TikTok Shop spon-con, and pelvic floor workout videos — are revealing themselves to be full-throated Trump supporters",,,FALSE,,12 400,2 600,27 000,,768 000,,,,,,
Darryl, Cooper,"Last September, Carlson interviewed a man named Darryl Cooper, whom he dubbed “the most important popular historian working in the United States today.�? Cooper’s conception of honest history soon became clear: He suggested that British Prime Minister Winston Churchill might have been “the chief villain of the Second World War,�? with Nazi Germany at best coming in second. 

These Reich rehabilitators are not fringe figures. Carlson’s show ranks among the top podcasts in America. He spoke before President Donald Trump on the final night of the 2024 Republican National Convention, and his son serves as a deputy press secretary to Vice President J. D. Vance, who owes his office in part to Carlson’s advocacy. 

Cooper, the would-be World War II revisionist, publishes the top-selling history newsletter on the entire Substack platform.",,,FALSE,,354 000,34 300,27 500,176000,270 000,,,,,,
Ian,Carrol,"n March, an influencer named Ian Carroll—who has a combined 3.8 million social-media followers, and whose work has been shared by Elon Musk—joined Joe Rogan, arguably the most popular podcaster in America, to expound without challenge about how a “giant group of Jewish billionaires is running a sex-trafficking operation targeting American politicians and business people.",,,FALSE,350 000,1 300 000,478 000,743 000,,1 000 000,,,,,,
Myron,Gaines,"“Hitler was right about y’all,�? said Myron Gaines, a manosphere podcaster with some 2 million followers across platforms, referring to Jews last year. “You guys come into a country, you push your pornography, you push your fuckin’ central banking, you push your degeneracy, you push the LGBT community, you push all this fuckin’ bullshit into a society, you destroy it from within.�?",,,TRUE,,354 000,490 000,123 000,,1 600 000,,,,,,
Christopher,Caldwell,"Christopher Caldwell, contributing editor to the Claremont Review of Books and white supremacist commentator",,Claremont Institute,FALSE,,,,,50000,,,,,,,
Michael,Anton,"Claremont senior fellow and a high-level Trump State Department appointee; 

It was Anton more than any other single figure who connected the Claremont Institute to MAGA and the alt-right. His 2016 Claremont Review of Books article “The Flight 93 Election”—using the metaphor of the passengers who rushed the cockpit on the terrorist flight on September 11, 2001—was to go viral and played a major role in mobilizing militant support for the Trump campaign. Here Anton declared that the 2016 election was a “charge the cockpit or die election,” in which “you may die anyway” in the attempt, but if Hillary Clinton were to be elected, “death is certain.""

Anton’s The Stakes, however, is best known for his explicit advocacy of a “red [that is, Republican or right-wing] Caesarism,” in which the presidency would become a “form of absolute monarchy” or “one-man rule” exhibiting widespread popular support—a position that was followed immediately after in his book with the exhortation to “reelect Trump!” Only when elected would Trump declare himself Caesar.26",Premiers influenceurs,Claremont Institute,FALSE,,,,,,,,,,,,
Curtis ,Yarvin,"Curtis Yarvin, a neofascist close to both Anton and Vance (the MAGA heir apparent). Like Vance and Anton, Yarvin is heavily supported by Silicon Valley billionaire Thiel. Yarvin is also openly admired by Trump adviser and Silicon Valley venture capitalist Marc Andreessen for his antidemocratic views. Vance calls Yarvin, whom he has also referred to in friendly banter as a “fascist,” “my number one political influence.”

he is an ex-computer programmer and right-wing blogger, writing under the pseudonym Mencius Moldbug and advocate of a “Dark Enlightenment” or neoreactionary movement (“NRx”). Tucker Carlson devoted an entire show to interviewing Yarvin in 2021. He is best known for his anti-democracy arguments and insistence that the president can establish himself as a “national CEO” or even “dictator,” concentrating all power in the executive branch and superseding the legal system and the courts while shifting from an “oligarchical Congress” to a “monarchical president.” Americans, he insists, are “going to have to get over their dictator-phobia.”https://www.newyorker.com/magazine/2025/06/09/curtis-yarvin-profile 
",,,FALSE,,69 700,,,63000,,,,,,,
Andy,Ngo,"Andy Cuong Ngo (/noʊ/ n-oh; born 1986 or 1987)[1] is an American right-wing social media influencer,[2] who is known for covering and video-recording demonstrators.[3] He is a journalist and editor-at-large for The Post Millennial, a Canadian conservative news website,[4] and a regular guest on Fox News.[5] Ngo has published columns in the New York Post[6] and The Wall Street Journal[7] and authored a best-selling book on antifa.",,,FALSE,57 000,1 800 000,202 000,46 400,20000,,,,,,,Oui
Katie ,Daviscourt,"Investigative Reporter 
@TPostMillennial
Worked for Rebel News Canada
A reporter who was allegedly attacked by a protester outside a Portland ICE
Katie Daviscourt speaks at President Trump's roundtable on Antifa violence:",,,FALSE,,258 200,86,21 500,,,,,,,,
Brandon,Tatum,"known as The Officer Tatum, is an American , conservative political commentator, author, radio personality, former policeman, and former college football player.

Tatum runs a YouTube channel called ""The Officer Tatum""[9] with over 3 million subscribers. As of May 2023, he has accumulated over 571 million total views.[citation needed]

Tatum has also appeared as a guest on Candace Owens's PragerU show The Candace Owens Show as well as her The Daily Wire political podcast Candace as a panelist.

Along with Owens,[10] Tatum founded Blexit,[11][12] an organization meant to persuade the black American population to leave the Democratic Party and re-register as Republicans. The name Blexit is a portmanteau, a combination of the words ""black"" and ""exit"".",,"PragerU 
Blexit
Turning Point USA",TRUE,,899 100,3 700 000,2 400 000,9900,16 000 000,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
